filename,iteration,duration_s,input_samples,vad_segments,vad_output_samples,speech_ratio,vad_ms,denoise_ms,total_pre_ms,stt_ms,expected_text,predicted_text,wer,stt_error
03_iisc_vaaniproject_k_utta.wav,15,3.966,63457,1,63425,0.9995,46.971,160.822,207.872,,यह लाल रंग की एक किताब है जो कि पंडित लोग,,,
03_iisc_vaaniproject_k_utta.wav,16,3.966,63457,1,63425,0.9995,46.680,163.652,210.423,,यह लाल रंग की एक किताब है जो कि पंडित लोग,,,
03_iisc_vaaniproject_k_utta.wav,17,3.966,63457,1,63425,0.9995,47.800,160.755,208.649,,यह लाल रंग की एक किताब है जो कि पंडित लोग,,,
03_iisc_vaaniproject_k_utta.wav,18,3.966,63457,1,63425,0.9995,46.945,160.892,207.923,,यह लाल रंग की एक किताब है जो कि पंडित लोग,,,
03_iisc_vaaniproject_k_utta.wav,19,3.966,63457,1,63425,0.9995,47.271,160.510,207.869,,यह लाल रंग की एक किताब है जो कि पंडित लोग,,,
04_iisc_vaaniproject_k_jhar.wav,0,3.158,50528,1,50496,0.9994,37.644,130.251,167.989,,कुछ लोग क्रिकेट खेल रहे है,,,
04_iisc_vaaniproject_k_jhar.wav,1,3.158,50528,1,50496,0.9994,41.212,135.064,176.391,,कुछ लोग क्रिकेट खेल रहे है,,,
04_iisc_vaaniproject_k_jhar.wav,2,3.158,50528,1,50496,0.9994,38.515,127.509,166.110,,कुछ लोग क्रिकेट खेल रहे है,,,
04_iisc_vaaniproject_k_jhar.wav,3,3.158,50528,1,50496,0.9994,39.701,128.052,167.828,,कुछ लोग क्रिकेट खेल रहे है,,,
04_iisc_vaaniproject_k_jhar.wav,4,3.158,50528,1,50496,0.9994,37.582,127.479,165.129,,कुछ लोग क्रिकेट खेल रहे है,,,
04_iisc_vaaniproject_k_jhar.wav,5,3.158,50528,1,50496,0.9994,37.508,127.421,165.009,,कुछ लोग क्रिकेट खेल रहे है,,,
04_iisc_vaaniproject_k_jhar.wav,6,3.158,50528,1,50496,0.9994,37.779,127.446,165.302,,कुछ लोग क्रिकेट खेल रहे है,,,
04_iisc_vaaniproject_k_jhar.wav,7,3.158,50528,1,50496,0.9994,37.456,132.068,169.607,,कुछ लोग क्रिकेट खेल रहे है,,,
04_iisc_vaaniproject_k_jhar.wav,8,3.158,50528,1,50496,0.9994,38.336,129.334,167.773,,कुछ लोग क्रिकेट खेल रहे है,,,
04_iisc_vaaniproject_k_jhar.wav,9,3.158,50528,1,50496,0.9994,37.898,128.363,166.344,,कुछ लोग क्रिकेट खेल रहे है,,,
04_iisc_vaaniproject_k_jhar.wav,10,3.158,50528,1,50496,0.9994,37.181,127.840,165.097,,कुछ लोग क्रिकेट खेल रहे है,,,
04_iisc_vaaniproject_k_jhar.wav,11,3.158,50528,1,50496,0.9994,37.265,128.364,165.702,,कुछ लोग क्रिकेट खेल रहे है,,,
04_iisc_vaaniproject_k_jhar.wav,12,3.158,50528,1,50496,0.9994,37.643,127.437,165.154,,कुछ लोग क्रिकेट खेल रहे है,,,
04_iisc_vaaniproject_k_jhar.wav,13,3.158,50528,1,50496,0.9994,37.029,128.010,165.116,,कुछ लोग क्रिकेट खेल रहे है,,,
04_iisc_vaaniproject_k_jhar.wav,14,3.158,50528,1,50496,0.9994,37.675,128.263,166.019,,कुछ लोग क्रिकेट खेल रहे है,,,
04_iisc_vaaniproject_k_jhar.wav,15,3.158,50528,1,50496,0.9994,37.386,128.318,165.784,,कुछ लोग क्रिकेट खेल रहे है,,,
04_iisc_vaaniproject_k_jhar.wav,16,3.158,50528,1,50496,0.9994,38.096,127.937,166.124,,कुछ लोग क्रिकेट खेल रहे है,,,
04_iisc_vaaniproject_k_jhar.wav,17,3.158,50528,1,50496,0.9994,37.503,129.832,167.410,,कुछ लोग क्रिकेट खेल रहे है,,,
04_iisc_vaaniproject_k_jhar.wav,18,3.158,50528,1,50496,0.9994,37.362,127.570,165.001,,कुछ लोग क्रिकेट खेल रहे है,,,
04_iisc_vaaniproject_k_jhar.wav,19,3.158,50528,1,50496,0.9994,37.125,128.371,165.578,,कुछ लोग क्रिकेट खेल रहे है,,,
